interwencja;p.stresu;plec;mniejszosc;studia;partner;zamieszkanie;praca;alkohol;wiek
1;12;1;0;1;1;0;1;1;75
0;16;1;0;1;1;0;0;1;32
0;16;0;0;0;1;1;1;1;53
0;14;1;0;0;1;0;1;1;30
0;14;1;0;0;1;1;1;0;79
0;12;0;0;0;1;0;1;0;49
0;11;0;0;0;1;0;1;0;64
0;12;0;0;1;0;0;1;1;44
0;12;1;0;1;1;0;0;0;40
0;10;1;0;0;1;0;1;1;68
0;50;0;0;1;0;0;1;0;39
0;12;0;0;1;1;1;1;1;72
0;11;0;0;0;0;1;1;0;68
0;10;1;0;0;1;2;1;0;73
0;8;1;0;1;1;0;1;1;32
0;13;0;0;0;1;0;1;0;69
0;15;0;0;0;1;1;1;0;69
0;13;0;0;1;1;2;1;1;40
0;13;1;0;1;1;0;1;0;41
0;13;1;0;0;1;2;1;1;61
0;13;0;0;1;1;0;1;0;53
0;22;1;0;1;0;0;0;0;38
0;19;1;0;1;1;0;1;1;36
0;11;0;0;1;1;0;1;0;60
0;14;1;0;1;0;0;0;1;30
0;9;0;0;1;1;0;0;0;36
0;17;1;0;1;1;0;1;0;77
0;16;0;0;1;0;1;1;0;65
0;10;1;0;1;1;0;1;1;41
0;26;1;0;0;1;0;1;1;40
0;10;1;0;1;1;0;0;0;32
0;10;0;0;1;1;1;1;0;39
0;13;0;0;0;0;0;1;1;72
0;10;1;0;0;1;0;1;0;66
0;16;1;0;1;1;0;1;1;78
0;14;0;0;1;1;0;1;0;40
1;14;0;0;1;1;0;1;0;67
0;11;0;0;0;0;0;1;1;57
0;10;1;0;1;1;0;1;0;45
0;14;1;0;1;1;2;1;1;64
1;11;0;0;1;1;1;1;1;37
1;10;0;1;0;0;2;1;0;41
0;20;1;0;1;1;0;1;0;46
0;14;1;0;0;1;0;1;1;63
0;13;0;0;0;0;0;1;0;71
0;11;0;0;1;1;2;1;0;32
0;10;0;0;1;1;0;1;1;43
0;17;1;0;1;0;0;1;0;70
1;14;1;0;1;0;0;1;0;58
0;24;0;0;1;0;0;1;1;32
1;10;0;0;0;0;1;1;0;71
0;13;0;0;1;1;1;1;0;63
0;11;0;0;1;1;1;1;1;76
0;12;0;0;1;1;2;1;0;35
1;12;1;0;0;0;2;1;0;61
0;15;0;0;1;1;0;1;0;74
0;14;1;0;1;1;0;1;1;60
0;14;0;0;1;0;0;1;1;57
0;10;1;0;1;1;0;1;1;65
0;10;1;0;0;1;0;1;0;69
0;12;1;0;1;1;1;1;1;46
0;13;1;0;0;1;2;1;1;77
0;9;1;0;1;0;0;1;1;36
0;15;0;0;1;1;1;1;1;57
0;10;1;0;1;1;0;1;1;73
0;14;1;0;1;0;0;0;1;33
0;11;0;0;0;1;2;1;1;73
1;15;0;0;0;0;1;1;0;51
